"fide_id","name","country","sex","title"
100013,"Campora, Daniel H.",ARG,M,GM
100021,"Quinteros, Miguel A.",ARG,M,GM
100072,"Adla, Diego",ARG,M,IM
100080,"Bianchi, Guillermo",ARG,M,IM
100102,"Cid, Marino Alejandro",ARG,M,IM
100110,"Sanchez Almeyra, Jorge",ARG,M,IM
100129,"Gomez Baillo, Jorge H.",ARG,M,IM
100137,"Zarnicki, Pablo",ARG,M,GM
100153,"Panno, Oscar",ARG,M,GM
100188,"Servat, Roberto",ARG,M,IM
100196,"Sorin, Ariel",ARG,M,GM
100200,"Fiorito, Fabian",ARG,M,IM
100218,"Boissonet, Carlos P.",ARG,M,IM
100234,"Glavina, Pablo",ESP,M,IM
100242,"Ricardi, Pablo",ARG,M,GM
100250,"Slipak, Sergio",ARG,M,GM
100269,"Tempone, Marcelo",ARG,M,IM
100277,"Grynszpan, Mariano",ARG,M,FM
100307,"Paglilla, Carlos",ARG,M,IM
100315,"Poch, Cesar G.",ARG,M,FM
100323,"Soppe, Guillermo",ARG,M,IM
100340,"Hoffman, Alejandro",URU,M,GM
100358,"Llanos, Guillermo",ARG,M,IM
100374,"Bernat, Miguel",ARG,M,IM
100382,"Vidal, Jose Raul",ARG,M,FM
100390,"Cuasnicu, Oscar",ARG,M,FM
100404,"Darcyl, Tomas",ARG,M,IM
100412,"Garbarino, Rodolfo",ARG,M,IM
100420,"Garcia, Raimundo",ARG,M,IM
100439,"Mahia, Gustavo",ARG,M,IM
100447,"Markeluk, Sergio",ARG,M,FM
100455,"Balduzzi, Reynaldo",ARG,M,FM
100480,"Fraile, Jorge",ARG,M,FM
100510,"De La Vega, Hector",ARG,M,FM
100536,"Amura, Claudia",ARG,F,WGM
100544,"Grinberg, Ricardo",ARG,M,FM
100552,"Rodriguez, Jorge Luis",ARG,M,FM
100579,"Schwanek, Carlos",ARG,M,FM
100587,"Valerga, Diego",ARG,M,GM
100595,"Debarnot, Roberto",ARG,M,IM
100617,"Leskovar, Mario",ARG,M,IM
100625,"Monier, Raul",ARG,M,FM
100641,"Casafus, Ruben",ARG,M,FM
100668,"Litovicius, Miguel",ARG,M,FM
100676,"Roca, Alfredo",ARG,M,FM
100684,"Bielicki, Carlos",ARG,M,IM
100692,"D`Arruda, Ricardo D.",ARG,M,FM
100706,"Fraschini, Mariano",ARG,M,FM
100714,"Fulgenzi, Ernesto",ARG,M,FM
100722,"Hase, Juan Carlos",ARG,M,IM
100730,"Needleman, Alejandro",ARG,M,IM
100757,"Capparelli, Damian",ARG,M,FM
100765,"Kanefsck, Gustavo",ARG,M,IM
100773,"Macagno, Sergio",ARG,M,FM
100781,"Tovillas, Daniel R.",ARG,M,FM
100820,"Grushka, Carlos",ARG,M,FM
100846,"Negri, Sergio",ARG,M,FM
100854,"Bertaccini, Daniel",ARG,M,FM
100862,"Restifa, Hector",ARG,M,FM
100870,"Rodriguez, Alberto",ARG,M,FM
100889,"Sumiacher, Carlos",ARG,M,FM
100897,"Bass, Alfredo",ARG,M,FM
100900,"Bialolenkier, Paulo",ARG,M,FM
100919,"Escandell Mari, Juan Carlos",ESP,M,FM
100927,"Mendez, Gustavo",ARG,M,FM
100943,"Trincado, Juan Fernando",ARG,M,FM
100960,"Alpern, Daniel",ARG,M,FM
100978,"Malbran, Guillermo",ARG,M,IM
100994,"Rosito, Jorge",ARG,M,IM
101010,"Sanchez, Fernando",ARG,M,FM
101044,"Aguila, Gustavo",ARG,M,FM
101060,"Cranbourne, Carlos",ARG,M,FM
101079,"Elguezabal Varela, Daniel",ESP,M,FM
101109,"Ramirez, Emilio",ARG,M,FM
101117,"Rappa, Damian",ARG,M,FM
101125,"Suarez, Jose Luis",ARG,M,FM
101141,"Auciello, Sergio",ARG,M,FM
101168,"Justo, Damian",ARG,M,FM
101192,"Perez Pietronave, Carlos",ARG,M,FM
101214,"Schuster, Carlos",ARG,M,FM
101257,"Del Castillo, Gustavo",ARG,M,FM
101281,"Reides, Marcelo",ARG,M,FM
101354,"Justo, Virginia",ARG,F,WIM
101370,"Scarella, Enrique Alejandro",ARG,M,IM
101397,"Borghi, Humberto",ARG,M,FM
101400,"De Dovitiis, Alejo",ARG,M,IM
101419,"Dorin, Mauricio",ARG,M,IM
101427,"Dotta, Juan Carlos",ARG,M,FM
101478,"Morgado, Juan Sebastian",ARG,M,FM
101516,"Anelli, Antonio",ARG,M,FM
101524,"Anino, Sergio",ARG,M,CM
101575,"Varga, Mariano",ARG,M,FM
101613,"Giaccio, Alfredo",ARG,M,GM
101648,"Vassallo Barroche, Mauricio",ESP,M,IM
101672,"Miracca, Juan",ARG,M,CM
101680,"Pacheco, Daniel",ARG,M,FM
101702,"Pingas, Blas Mariano",ARG,M,FM
101710,"Rodi, Luis Ernesto",URU,M,IM
101761,"Biagi, Eduardo",ARG,M,FM
101770,"Filgueira, Hernan",ARG,M,IM
101850,"Godoy, Carlos",ARG,M,CM
101877,"Sabas, Jorge",ARG,M,FM
101931,"Lapicki, Raul",ARG,M,FM
101958,"Piscicelli, Daniel Orlando",ARG,M,FM
101966,"Spangenberg, Hugo",ARG,M,GM
101974,"Ballicora, Miguel",ARG,M,FM
102040,"Martinez,  Alexsandro Javier",ARG,M,CM
102067,"Zukerfeld, Andres",ARG,M,FM
102083,"Fernandez, Jorge",ARG,M,FM
102091,"Juarez, Alberto",ARG,M,FM
102130,"Bulcourf, Carlos",ARG,M,FM
102164,"Del Rey, Diego",ESP,M,IM
102202,"Playa, Marcelo",ARG,M,IM
102245,"Altamirano, Benjamin",ARG,M,FM
102482,"Pla, Silvio",ARG,M,FM
102628,"Ibar, Marcelo",ARG,M,FM
102652,"Burijovich, Liliana",ARG,F,WIM
102660,"Malajovich, Sandra",ARG,F,WIM
102687,"Rizzo, Marina",ARG,F,WFM
102849,"Loiterstein, Mariano",ARG,M,FM
102881,"Langier, Daniel",ARG,M,IM
102920,"Nedilski, Diego",ARG,M,FM
102997,"Villegas, Sandra",ARG,F,WFM
103047,"Mendez, Ernesto",ARG,M,IM
103055,"Minzer, Claudio Javier",ARG,M,IM
103101,"Asensio, Enrique",ESP,M,CM
103128,"Halac, Matias",ARG,M,CM
