"event_id","event","place","federation","startdate","enddate","type"
1,"14th Dubai Open 2012",Dubai,UAE,"2012.04.18","2012.04.23",
2,"16th Voronezh Master Open",Voronezh,RUS,"2012.06.12","2012.06.21",
3,"19th Metropolitan IM",Los Angeles,USA,"2012.06.06","2012.06.10",
4,"3rd Forni di Sopra Open",Forni di Sopra,ITA,"2012.06.16","2012.06.23",
5,"4th WGP Kazan 2012",Kazan,RUS,"2012.06.20","2012.06.22",
6,"5th Karen Asrian Memorial",Jermuk,ARM,"2012.06.19","2012.06.24",
7,"5th Mayors Cup 2012",Mumbai,IND,"2012.06.07","2012.06.15",
8,"5th Svein Memorial",Oslo,NOR,"2012.06.22","2012.06.25",
9,"62nd ch-RUS HL w",Tyumen,RUS,"2012.06.16","2012.06.25",
10,"65th ch-RUS HL",Tyumen,RUS,"2012.06.16","2012.06.25",
11,Baltija WGM Cup 2012,Palanga,LTU,"2012.06.17","2012.06.23",
12,Cez Trophy 2012,Prague,CZE,"2012.06.20","2012.06.24",
13,Coupe de France 2012,Bois-Colombes,FRA,"2012.05.19","2012.06.24",
14,HSG Open A 2012,Hilversum,NED,"2012.06.22","2012.06.24",
15,Hotel El Aguila GM,Utebo,ESP,"2012.06.18","2012.06.23",
16,IJmond vierkampen 2012,Wijk aan Zee,NED,"2012.06.23","2012.06.24",
17,National Open 2012,Las Vegas,USA,"2012.06.17","2012.06.17",
18,Paleros Open,Paleros,GRE,"2012.06.18","2012.06.23",
19,Spring Wednesday Knighter Masters,Minneapolis,USA,"2012.04.25","2012.06.20",
20,TCh-CAT 2012,Catalunya,ESP,"2012.02.11","2012.05.21",
21,Teplice Open 2012,Teplice,CZE,"2012.06.19","2012.06.24",
22,Top12 w Final Phase 2012,Saint-Quentin,FRA,"2012.06.23","2012.06.24",
23,ch-FIN 2012,Helsinki,FIN,"2012.06.19","2012.06.21",
24,ch-ISL Playoff 2012,Kopavogur,ISL,"2012.05.30","2012.05.30",
25,"14th Torredembarra Open",Torredembarra,ESP,"2012.06.30","2012.07.02",
26,"15th Vins du Medoc",Naujac sur Mer,FRA,"2012.06.24","2012.07.01",
27,"30th Greek Cup 2012",Achaea,GRE,"2012.06.28","2012.06.29",
28,"40th TCh-GRE 2012",Achaea,GRE,"2012.06.30","2012.07.01",
29,"4th Carlos I Open",Sanxenxo,ESP,"2012.06.23","2012.07.01",
30,"5th Svein Memorial",Oslo,NOR,"2012.06.22","2012.06.22",
31,"62nd ch-RUS HL w",Tyumen,RUS,"2012.06.25","2012.06.27",
32,"65th ch-RUS HL",Tyumen,RUS,"2012.06.25","2012.06.27",
33,"7th Edmonton International",Edmonton,CAN,"2012.06.26","2012.07.03",
34,"8th RUS-CHN Summit Men Classical",St Petersburg,RUS,"2012.07.02","2012.07.02",
35,"8th RUS-CHN Summit Women Classical",St Petersburg,RUS,"2012.07.02","2012.07.02",
36,"9th Philadelphia International",Philadelphia,USA,"2012.06.29","2012.07.02",
37,Championnat de Corse 2012,Bastia,FRA,"2012.06.23","2012.06.29",
38,HSC/De Legibus Open,Helmond,NED,"2012.06.30","2012.07.01",
39,Mukachevo Summer Open,Mukachevo,UKR,"2012.06.26","2012.07.01",
40,Stockholm Master Open 2012,Stockholm,SWE,"2012.06.28","2012.07.02",
41,TCh-CHN 2012,Taizhou,CHN,"2012.06.27","2012.06.29",
42,TCh-SUI National A 2012,Switzerland,SUI,"2012.06.24","2012.06.24",
43,XXI Adolf Anderssen Mem KO,Wroclaw,POL,"2012.07.01","2012.07.01",
44,XXI Adolf Anderssen Mem Prelim,Wroclaw,POL,"2012.06.30","2012.06.30",
45,e2e4 Buxton Open,Buxton,ENG,"2012.06.29","2013.12.06",
46,"119th ch-SCO 2012",Glasgow,SCO,"2012.07.07","2012.07.08",
47,"11th ROC Nova Open",Haarlem,NED,"2012.07.06","2012.07.08",
48,"14th Torredembarra Open",Torredembarra,ESP,"2012.06.30","2012.07.02",
49,"1st CT Casino Marina del Sol",Talcahuano,CHI,"2012.06.02","2012.07.02",
50,"2nd Polugaevsky Mem",Samara,RUS,"2012.07.05","2012.07.09",
51,"32nd Benasque Open",Benasque,ESP,"2012.07.05","2012.07.08",
52,"34th Oberwart Open A",Oberwart,AUT,"2012.07.07","2012.07.08",
53,"40th Annual World Open",Philadelphia,USA,"2012.07.03","2012.07.08",
54,"40th Annual World Open Playoff",Philadelphia,USA,"2012.07.08","2012.07.08",
55,"40th TCh-GRE 2012",Achaea,GRE,"2012.07.01","2012.07.05",
56,"4th Rethymno Open",Rethymno,GRE,"2012.07.07","2012.07.08",
57,"5th Int ch-Central Serbia 2012",Paracin,SRB,"2012.07.06","2012.07.07",
58,"6th LCT GpA 2012",Leiden,NED,"2012.07.06","2012.07.08",
59,"7th Edmonton International",Edmonton,CAN,"2012.07.03","2012.07.03",
60,"7th Wroclaw Open A",Wroclaw,POL,"2012.07.02","2012.07.06",
61,"86th ch-ARG 2012",La Plata,ARG,"2012.07.04","2012.07.09",
62,"8th RUS-CHN Summit Men Classical",St Petersburg,RUS,"2012.07.02","2012.07.06",
63,"8th RUS-CHN Summit Men Rapid",St Petersburg,RUS,"2012.07.07","2012.07.08",
64,"8th RUS-CHN Summit Women Classical",St Petersburg,RUS,"2012.07.02","2012.07.06",
65,"8th RUS-CHN Summit Women Rapid",St Petersburg,RUS,"2012.07.07","2012.07.08",
66,"9th Philadelphia International",Philadelphia,USA,"2012.07.02","2012.07.03",
67,Chess House IM 2012,Aarhus,DEN,"2012.07.07","2012.07.09",
68,Chess House WIM 2012,Aarhus,DEN,"2012.07.07","2012.07.09",
69,FSGM July 2012,Budapest,HUN,"2012.07.07","2012.07.08",
70,FSIM July 2012,Budapest,HUN,"2012.07.07","2012.07.08",
71,II Holuj-Radzikowski Mem,Warsaw,POL,"2012.07.09","2012.07.09",
72,Int Open ch-SVK 2012,Banska Stiavnica,SVK,"2012.07.07","2012.07.08",
73,Stockholm Master Open 2012,Stockholm,SWE,"2012.06.28","2012.07.04",
74,World Blitz Final,Astana,KAZ,"2012.07.09","2012.07.09",
75,World Rapid Final,Astana,KAZ,"2012.07.06","2012.07.08",
76,ch-BEL Experts 2012,Lommel,BEL,"2012.06.30","2012.07.08",
77,ch-MNE 2012,Cetinje,MNE,"2012.07.07","2012.07.08",
78,ch-NOR 2012,Sandefjord,NOR,"2012.07.07","2012.07.09",
79,ch-SWE 2012,Falun,SWE,"2012.07.07","2012.07.09",
80,"112th ch-SUI 2012",Flims,SUI,"2012.07.12","2012.07.15",
81,"119th ch-SCO 2012",Glasgow,SCO,"2012.07.09","2012.12.07",
82,"11th Bergamo Open Elite",Bergamo,ITA,"2012.07.13","2012.07.15",
83,"11th La Fere Open",La Fere,FRA,"2012.07.07","2012.07.14",
84,"14th Torredembarra Open",Torredembarra,ESP,"2012.07.03","2012.07.08",
85,"16th Godesburg Open",Bad Godesberg,GER,"2012.07.07","2012.07.15",
86,"1st ITT LXSBC 2012",Sao Bernardo do Campo,BRA,"2012.07.03","2012.07.08",
87,"22nd HOF Open 2012",Jyvaskyla,FIN,"2012.07.09","2012.07.11",
88,"27th Gniota Memorial",Police,POL,"2012.07.11","2012.07.13",
89,"2nd Polugaevsky Mem",Samara,RUS,"2012.07.10","2012.07.13",
90,"2nd Science Park Open A",Amsterdam,NED,"2012.07.14","2012.07.16",
91,"32nd Benasque Open",Benasque,ESP,"2012.07.05","2012.07.14",
92,"34th Oberwart Open A",Oberwart,AUT,"2012.07.09","2012.07.15",
93,"35th Barbera Open A",Barbera del Valles,ESP,"2012.07.04","2012.07.16",
94,"40th GM",Dortmund,GER,"2012.07.13","2012.07.16",
95,"46th Ilmar Raua Memorial",Vaksali,EST,"2012.07.07","2012.07.08",
96,"49th Canadian Open Championship",Victoria,CAN,"2012.07.08","2012.07.13",
97,"4th Rethymno Open",Rethymno,GRE,"2012.07.09","2012.07.14",
98,"5th Int ch-Central Serbia 2012",Paracin,SRB,"2012.07.09","2012.07.13",
99,"5th Open d'Ille et Vilaine",Rennes,FRA,"2012.07.06","2012.07.13",
100,"6th LCT GpA 2012",Leiden,NED,"2012.07.08","2012.07.15",
101,"6th Varna Open",Varna,BUL,"2012.07.11","2012.07.14",
102,"72nd ch-ITA S/F 2012",Civitanova Marche,ITA,"2012.07.15","2012.07.16",
103,"7th Nana Aleksandria Cup",Poti,GEO,"2012.07.14","2012.07.16",
104,"7th Vladimir Dvorkovich Cup",Moscow,RUS,"2012.06.29","2012.07.06",
105,"7th Wroclaw Open A",Wroclaw,POL,"2012.07.07","2012.07.10",
106,"86th ch-ARG 2012",La Plata,ARG,"2012.07.04","2012.07.12",
107,"87th ch-Paris IdF Open",Paris,FRA,"2012.07.07","2012.07.15",
108,"9th South Wales Int",Penarth,WLS,"2012.07.08","2012.07.12",
109,ACP Golden Classic,Amsterdam,NED,"2012.07.14","2012.07.16",
110,Chess House IM 2012,Aarhus,DEN,"2012.07.11","2012.07.5",
111,Chess House WIM 2012,Aarhus,DEN,"2012.07.10","2012.07.15",
112,FSGM July 2012,Budapest,HUN,"2012.07.09","2012.07.15",
113,FSIM July 2012,Budapest,HUN,"2012.07.08","2012.07.15",
114,II Holuj-Radzikowski Mem,Warsaw,POL,"2012.07.02","2012.07.09",
115,III Maravilhosa Open 2012,Laranjeiras,BRA,"2012.07.13","2012.07.13",
116,Int Open ch-SVK 2012,Banska Stiavnica,SVK,"2012.07.09","2012.07.15",
117,NIKI Open 2012,Nachod,CZE,"2012.06.30","2012.07.08",
118,Perla Baltyku Open 2012,Lazy,POL,"2012.06.30","2012.07.08",
119,St. Pauli Open 2012,Hamburg,GER,"2012.07.07","2012.07.14",
120,Turkish Bank Chess League 2012,Konya,TUR,"2012.07.08","2012.07.16",
121,Werner-Ott-Open 2012,Berlin,GER,"2012.07.07","2012.07.15",
122,World Blitz Final,Astana,KAZ,"2012.07.10","2012.07.10",
123,XXI TCh-MKD 2012,Struga,MKD,"2012.07.16","2012.07.16",
124,ch-MNE 2012,Cetinje,MNE,"2012.07.09","2012.07.16",
125,ch-NED 2012,Amsterdam,NED,"2012.07.15","2012.07.16",
126,ch-NED w 2012,Amsterdam,NED,"2012.07.15","2012.07.16",
127,ch-NOR 2012,Sandefjord,NOR,"2012.07.10","2012.07.16",
128,ch-SLO 2012,Ljubljana,SLO,"2012.06.30","2012.07.08",
129,ch-SLO w 2012,Ljubljana,SLO,"2012.06.30","2012.07.08",
130,ch-SUI Hauptturnier 1 2012,Flims,SUI,"2012.07.12","2012.07.15",
131,ch-SWE 2012,Falun,SWE,"2012.07.07","2012.07.15",
132,ch-SWE Playoff 2012,Falun,SWE,"2012.07.15","2012.07.15",
133,ch-UAE 2012,Abu Dhabi,UAE,"2012.06.28","2012.07.04",
134,ch-USA Junior Final 2012,Saint Louis,USA,"2012.07.14","2012.07.15",
135,ch-USA Junior GpA,Saint Louis,USA,"2012.07.11","2012.07.14",
136,ch-USA Junior GpB,Saint Louis,USA,"2012.07.11","2012.07.14",
137,"112th ch-SUI 2012",Flims,SUI,"2012.07.16","2012.07.20",
138,"11th Bergamo Open Elite",Bergamo,ITA,"2012.07.13","2012.07.15",
139,"14th Saint-Lo Festival IM",Saint-Lo,FRA,"2012.07.07","2012.07.14",
140,"14th Saint-Lo Festival Summer Open",Saint-Lo,FRA,"2012.07.07","2012.07.13",
141,"19th Metropolitan IM",Los Angeles,USA,"2012.06.10","2012.06.10",
142,"20th Metropolitan IM",Los Angeles,USA,"2012.07.11","2012.07.16",
143,"23rd Czech Open A",Pardubice,CZE,"2012.07.20","2012.07.20",
144,"23rd Czech Open Rapid",Pardubice,CZE,"2012.07.18","2012.07.19",
145,"27th Gniota Memorial",Police,POL,"2012.07.14","2012.07.19",
146,"2nd Science Park Open A",Amsterdam,NED,"2012.07.14","2012.07.22",
147,"30th Andorra Open",Andorra la Vella,AND,"2012.07.21","2012.07.23",
148,"35th Barbera Open A",Barbera del Valles,ESP,"2012.07.04","2012.07.16",
149,"35th Taminco Open",Ghent,BEL,"2012.07.14","2012.07.18",
